시도명,시군구명,읍면동명,시도영문명,시군구영문명,읍면동영문명,주소영문명
서울특별시,종로구,사직동,Seoul,Jongno-gu,Sajik-dong,Sajik-dong Jongno-gu Seoul
서울특별시,종로구,삼청동,Seoul,Jongno-gu,Samcheong-dong,Samcheong-dong Jongno-gu Seoul
서울특별시,종로구,부암동,Seoul,Jongno-gu,Buam-dong,Buam-dong Jongno-gu Seoul
서울특별시,종로구,평창동,Seoul,Jongno-gu,Pyeongchang-dong,Pyeongchang-dong Jongno-gu Seoul
서울특별시,종로구,무악동,Seoul,Jongno-gu,Muak-dong,Muak-dong Jongno-gu Seoul
서울특별시,종로구,교남동,Seoul,Jongno-gu,Gyonam-dong,Gyonam-dong Jongno-gu Seoul
서울특별시,종로구,가회동,Seoul,Jongno-gu,Gahoe-dong,Gahoe-dong Jongno-gu Seoul
서울특별시,종로구,종로1·2·3·4가동,Seoul,Jongno-gu,Jongno 1.2.3.4(ilisamsa)-ga-dong,Jongno 1.2.3.4(ilisamsa)-ga-dong Jongno-gu Seoul
서울특별시,종로구,종로5·6가동,Seoul,Jongno-gu,Jongno 5.6(oryuk)-ga-dong,Jongno 5.6(oryuk)-ga-dong Jongno-gu Seoul
서울특별시,종로구,이화동,Seoul,Jongno-gu,Ihwa-dong,Ihwa-dong Jongno-gu Seoul
서울특별시,종로구,창신1동,Seoul,Jongno-gu,Changsin 1(il)-dong,Changsin 1(il)-dong Jongno-gu Seoul
서울특별시,종로구,창신2동,Seoul,Jongno-gu,Changsin 2(i)-dong,Changsin 2(i)-dong Jongno-gu Seoul
서울특별시,종로구,창신3동,Seoul,Jongno-gu,Changsin 3(sam)-dong,Changsin 3(sam)-dong Jongno-gu Seoul
서울특별시,종로구,숭인1동,Seoul,Jongno-gu,Sungin 1(il)-dong,Sungin 1(il)-dong Jongno-gu Seoul
서울특별시,종로구,숭인2동,Seoul,Jongno-gu,Sungin 2(i)-dong,Sungin 2(i)-dong Jongno-gu Seoul
서울특별시,종로구,청운효자동,Seoul,Jongno-gu,Cheongunhyoja-dong,Cheongunhyoja-dong Jongno-gu Seoul
서울특별시,종로구,혜화동,Seoul,Jongno-gu,Hyehwa-dong,Hyehwa-dong Jongno-gu Seoul
서울특별시,중구,소공동,Seoul,Jung-gu,Sogong-dong,Sogong-dong Jung-gu Seoul
서울특별시,중구,회현동,Seoul,Jung-gu,Hoehyeon-dong,Hoehyeon-dong Jung-gu Seoul
서울특별시,중구,명동,Seoul,Jung-gu,Myeong-dong,Myeong-dong Jung-gu Seoul
서울특별시,중구,필동,Seoul,Jung-gu,Pil-dong,Pil-dong Jung-gu Seoul
서울특별시,중구,장충동,Seoul,Jung-gu,Jangchung-dong,Jangchung-dong Jung-gu Seoul
서울특별시,중구,광희동,Seoul,Jung-gu,Gwanghui-dong ,Gwanghui-dong  Jung-gu Seoul
서울특별시,중구,을지로동,Seoul,Jung-gu,Euljiro-dong,Euljiro-dong Jung-gu Seoul
서울특별시,중구,신당5동,Seoul,Jung-gu,Sindang 5(o)-dong,Sindang 5(o)-dong Jung-gu Seoul
서울특별시,중구,황학동,Seoul,Jung-gu,Hwanghak-dong,Hwanghak-dong Jung-gu Seoul
서울특별시,중구,중림동,Seoul,Jung-gu,Jungnim-dong,Jungnim-dong Jung-gu Seoul
서울특별시,중구,신당동,Seoul,Jung-gu,Sindang-dong,Sindang-dong Jung-gu Seoul
서울특별시,중구,다산동,Seoul,Jung-gu,Dasan-dong,Dasan-dong Jung-gu Seoul
서울특별시,중구,약수동,Seoul,Jung-gu,Yaksu-dong,Yaksu-dong Jung-gu Seoul
서울특별시,중구,청구동,Seoul,Jung-gu,Cheonggu-dong,Cheonggu-dong Jung-gu Seoul
서울특별시,중구,동화동,Seoul,Jung-gu,Donghwa-dong,Donghwa-dong Jung-gu Seoul
서울특별시,용산구,후암동,Seoul,Yongsan-gu,Huam-dong,Huam-dong Yongsan-gu Seoul
서울특별시,용산구,용산2가동,Seoul,Yongsan-gu,Yongsan 2(i)-ga-dong,Yongsan 2(i)-ga-dong Yongsan-gu Seoul
서울특별시,용산구,남영동,Seoul,Yongsan-gu,Namyeong-dong,Namyeong-dong Yongsan-gu Seoul
서울특별시,용산구,원효로2동,Seoul,Yongsan-gu,Wonhyoro 2(i)-dong,Wonhyoro 2(i)-dong Yongsan-gu Seoul
서울특별시,용산구,효창동,Seoul,Yongsan-gu,Hyochang-dong,Hyochang-dong Yongsan-gu Seoul
서울특별시,용산구,용문동,Seoul,Yongsan-gu,Yongmun-dong,Yongmun-dong Yongsan-gu Seoul
서울특별시,용산구,이촌1동,Seoul,Yongsan-gu,Ichon 1(il)-dong,Ichon 1(il)-dong Yongsan-gu Seoul
서울특별시,용산구,이촌2동,Seoul,Yongsan-gu,Ichon 2(i)-dong,Ichon 2(i)-dong Yongsan-gu Seoul
서울특별시,용산구,이태원1동,Seoul,Yongsan-gu,Itaewon 1(il)-dong,Itaewon 1(il)-dong Yongsan-gu Seoul
서울특별시,용산구,이태원2동,Seoul,Yongsan-gu,Itaewon 2(i)-dong,Itaewon 2(i)-dong Yongsan-gu Seoul
서울특별시,용산구,서빙고동,Seoul,Yongsan-gu,Seobinggo-dong,Seobinggo-dong Yongsan-gu Seoul
서울특별시,용산구,보광동,Seoul,Yongsan-gu,Bogwang-dong,Bogwang-dong Yongsan-gu Seoul
서울특별시,용산구,청파동,Seoul,Yongsan-gu,Cheongpa-dong,Cheongpa-dong Yongsan-gu Seoul
서울특별시,용산구,원효로1동,Seoul,Yongsan-gu,Wonhyoro 1(il)-dong,Wonhyoro 1(il)-dong Yongsan-gu Seoul
서울특별시,용산구,한강로동,Seoul,Yongsan-gu,Hangangno-dong,Hangangno-dong Yongsan-gu Seoul
서울특별시,용산구,한남동,Seoul,Yongsan-gu,Hannam-dong,Hannam-dong Yongsan-gu Seoul
서울특별시,성동구,왕십리2동,Seoul,Seongdong-gu,Wangsimni 2(i)-dong,Wangsimni 2(i)-dong Seongdong-gu Seoul
서울특별시,성동구,마장동,Seoul,Seongdong-gu,Majang-dong,Majang-dong Seongdong-gu Seoul
서울특별시,성동구,사근동,Seoul,Seongdong-gu,Sageun-dong,Sageun-dong Seongdong-gu Seoul
서울특별시,성동구,행당1동,Seoul,Seongdong-gu,Haengdang 1(il)-dong,Haengdang 1(il)-dong Seongdong-gu Seoul
서울특별시,성동구,행당2동,Seoul,Seongdong-gu,Haengdang 2(i)-dong,Haengdang 2(i)-dong Seongdong-gu Seoul
서울특별시,성동구,응봉동,Seoul,Seongdong-gu,Eungbong-dong,Eungbong-dong Seongdong-gu Seoul
서울특별시,성동구,금호1가동,Seoul,Seongdong-gu,Geumho 1(il)-ga-dong,Geumho 1(il)-ga-dong Seongdong-gu Seoul
서울특별시,성동구,금호4가동,Seoul,Seongdong-gu,Geumho 4(sa)-ga-dong,Geumho 4(sa)-ga-dong Seongdong-gu Seoul
서울특별시,성동구,성수1가1동,Seoul,Seongdong-gu,Seongsu 1(il)-ga-1(il)-dong,Seongsu 1(il)-ga-1(il)-dong Seongdong-gu Seoul
서울특별시,성동구,성수1가2동,Seoul,Seongdong-gu,Seongsu 1(il)-ga-2(i)-dong,Seongsu 1(il)-ga-2(i)-dong Seongdong-gu Seoul
서울특별시,성동구,성수2가1동,Seoul,Seongdong-gu,Seongsu 2(i)-ga-1(il)-dong,Seongsu 2(i)-ga-1(il)-dong Seongdong-gu Seoul
서울특별시,성동구,성수2가3동,Seoul,Seongdong-gu,Seongsu 2(i)-ga-3(sam)-dong,Seongsu 2(i)-ga-3(sam)-dong Seongdong-gu Seoul
서울특별시,성동구,송정동,Seoul,Seongdong-gu,Songjeong-dong,Songjeong-dong Seongdong-gu Seoul
서울특별시,성동구,용답동,Seoul,Seongdong-gu,Yongdap-dong,Yongdap-dong Seongdong-gu Seoul
서울특별시,성동구,왕십리도선동,Seoul,Seongdong-gu,WangsimniDoseon-dong,WangsimniDoseon-dong Seongdong-gu Seoul
서울특별시,성동구,금호2·3가동,Seoul,Seongdong-gu,Geumho 2.3(isam)-ga-dong,Geumho 2.3(isam)-ga-dong Seongdong-gu Seoul
서울특별시,성동구,옥수동,Seoul,Seongdong-gu,Oksu-dong,Oksu-dong Seongdong-gu Seoul
서울특별시,광진구,화양동,Seoul,Gwangjin-gu,Hwayang-dong,Hwayang-dong Gwangjin-gu Seoul
서울특별시,광진구,군자동,Seoul,Gwangjin-gu,Gunja-dong,Gunja-dong Gwangjin-gu Seoul
서울특별시,광진구,중곡1동,Seoul,Gwangjin-gu,Junggok 1(il)-dong,Junggok 1(il)-dong Gwangjin-gu Seoul
서울특별시,광진구,중곡2동,Seoul,Gwangjin-gu,Junggok 2(i)-dong,Junggok 2(i)-dong Gwangjin-gu Seoul
서울특별시,광진구,중곡3동,Seoul,Gwangjin-gu,Junggok 3(sam)-dong,Junggok 3(sam)-dong Gwangjin-gu Seoul
서울특별시,광진구,중곡4동,Seoul,Gwangjin-gu,Junggok 4(sa)-dong,Junggok 4(sa)-dong Gwangjin-gu Seoul
서울특별시,광진구,능동,Seoul,Gwangjin-gu,Neung-dong,Neung-dong Gwangjin-gu Seoul
서울특별시,광진구,구의1동,Seoul,Gwangjin-gu,Guui 1(il)-dong,Guui 1(il)-dong Gwangjin-gu Seoul
서울특별시,광진구,구의2동,Seoul,Gwangjin-gu,Guui 2(i)-dong,Guui 2(i)-dong Gwangjin-gu Seoul
서울특별시,광진구,구의3동,Seoul,Gwangjin-gu,Guui 3(sam)-dong,Guui 3(sam)-dong Gwangjin-gu Seoul
서울특별시,광진구,광장동,Seoul,Gwangjin-gu,Gwangjang-dong,Gwangjang-dong Gwangjin-gu Seoul
서울특별시,광진구,자양1동,Seoul,Gwangjin-gu,Jayang 1(il)-dong,Jayang 1(il)-dong Gwangjin-gu Seoul
서울특별시,광진구,자양2동,Seoul,Gwangjin-gu,Jayang 2(i)-dong,Jayang 2(i)-dong Gwangjin-gu Seoul
서울특별시,광진구,자양3동,Seoul,Gwangjin-gu,Jayang 3(sam)-dong,Jayang 3(sam)-dong Gwangjin-gu Seoul
서울특별시,광진구,자양4동,Seoul,Gwangjin-gu,Jayang 4(sa)-dong,Jayang 4(sa)-dong Gwangjin-gu Seoul
서울특별시,동대문구,회기동,Seoul,Dongdaemun-gu,Hoegi-dong,Hoegi-dong Dongdaemun-gu Seoul
서울특별시,동대문구,휘경1동,Seoul,Dongdaemun-gu,Hwigyeong 1(il)-dong,Hwigyeong 1(il)-dong Dongdaemun-gu Seoul
서울특별시,동대문구,휘경2동,Seoul,Dongdaemun-gu,Hwigyeong 2(i)-dong,Hwigyeong 2(i)-dong Dongdaemun-gu Seoul
서울특별시,동대문구,청량리동,Seoul,Dongdaemun-gu,Cheongnyangni-dong,Cheongnyangni-dong Dongdaemun-gu Seoul
서울특별시,동대문구,용신동,Seoul,Dongdaemun-gu,Yongsin-dong,Yongsin-dong Dongdaemun-gu Seoul
서울특별시,동대문구,제기동,Seoul,Dongdaemun-gu,Jegi-dong,Jegi-dong Dongdaemun-gu Seoul
서울특별시,동대문구,전농1동,Seoul,Dongdaemun-gu,Jeonnong 1(il)-dong,Jeonnong 1(il)-dong Dongdaemun-gu Seoul
서울특별시,동대문구,전농2동,Seoul,Dongdaemun-gu,Jeonnong 2(i)-dong,Jeonnong 2(i)-dong Dongdaemun-gu Seoul
서울특별시,동대문구,답십리2동,Seoul,Dongdaemun-gu,Dapsimni 2(i)-dong,Dapsimni 2(i)-dong Dongdaemun-gu Seoul
서울특별시,동대문구,장안1동,Seoul,Dongdaemun-gu,Jangan 1(il)-dong,Jangan 1(il)-dong Dongdaemun-gu Seoul
서울특별시,동대문구,장안2동,Seoul,Dongdaemun-gu,Jangan 2(i)-dong,Jangan 2(i)-dong Dongdaemun-gu Seoul
서울특별시,동대문구,이문1동,Seoul,Dongdaemun-gu,Imun 1(il)-dong,Imun 1(il)-dong Dongdaemun-gu Seoul
서울특별시,동대문구,이문2동,Seoul,Dongdaemun-gu,Imun 2(i)-dong,Imun 2(i)-dong Dongdaemun-gu Seoul
서울특별시,동대문구,답십리1동,Seoul,Dongdaemun-gu,Dapsimni 1(il)-dong,Dapsimni 1(il)-dong Dongdaemun-gu Seoul
서울특별시,중랑구,면목2동,Seoul,Jungnang-gu,Myeonmok 2(i)-dong,Myeonmok 2(i)-dong Jungnang-gu Seoul
서울특별시,중랑구,면목4동,Seoul,Jungnang-gu,Myeonmok 4(sa)-dong,Myeonmok 4(sa)-dong Jungnang-gu Seoul
서울특별시,중랑구,면목5동,Seoul,Jungnang-gu,Myeonmok 5(o)-dong,Myeonmok 5(o)-dong Jungnang-gu Seoul
서울특별시,중랑구,면목7동,Seoul,Jungnang-gu,Myeonmok 7(chil)-dong,Myeonmok 7(chil)-dong Jungnang-gu Seoul
서울특별시,중랑구,상봉1동,Seoul,Jungnang-gu,Sangbong 1(il)-dong,Sangbong 1(il)-dong Jungnang-gu Seoul
서울특별시,중랑구,상봉2동,Seoul,Jungnang-gu,Sangbong 2(i)-dong,Sangbong 2(i)-dong Jungnang-gu Seoul
서울특별시,중랑구,중화1동,Seoul,Jungnang-gu,Junghwa 1(il)-dong,Junghwa 1(il)-dong Jungnang-gu Seoul
서울특별시,중랑구,중화2동,Seoul,Jungnang-gu,Junghwa 2(i)-dong,Junghwa 2(i)-dong Jungnang-gu Seoul
서울특별시,중랑구,묵1동,Seoul,Jungnang-gu,Muk 1(il)-dong,Muk 1(il)-dong Jungnang-gu Seoul
서울특별시,중랑구,묵2동,Seoul,Jungnang-gu,Muk 2(i)-dong,Muk 2(i)-dong Jungnang-gu Seoul
서울특별시,중랑구,망우3동,Seoul,Jungnang-gu,Mangu 3(sam)-dong,Mangu 3(sam)-dong Jungnang-gu Seoul
