"sido_kr","sigungu_kr","sigungu_1_kr","sigungu_2_kr","sido_en","sigun_en","sigungu_1_en","sigungu_2_en","sdsgg_en","base_year","tax_exclude","adm2_code_new","adm2_code","sgg_population","sgg_housing","sgg_tax_global","sgg_tax_income","sgg_doj","sgg_dcee"
"서울특별시","종로구","종로구","종로구","Seoul","Jongno-gu","Jongno-gu","Jongno-gu","Jongno-gu Seoul",2020,NA,11010,11010,11010,11010,"A0223","A0123","BVXX024",4200003
"서울특별시","중구","중구","중구","Seoul","Jung-gu","Jung-gu","Jung-gu","Jung-gu Seoul",2020,NA,11020,11020,11020,11020,"A0224","A0124","BVXX025",4200004
"서울특별시","용산구","용산구","용산구","Seoul","Yongsan-gu","Yongsan-gu","Yongsan-gu","Yongsan-gu Seoul",2020,NA,11030,11030,11030,11030,"A0221","A0121","BVXX022",4200005
"서울특별시","성동구","성동구","성동구","Seoul","Seongdong-gu","Seongdong-gu","Seongdong-gu","Seongdong-gu Seoul",2020,NA,11040,11040,11040,11040,"A0216","A0116","BVXX017",4200006
"서울특별시","광진구","광진구","광진구","Seoul","Gwangjin-gu","Gwangjin-gu","Gwangjin-gu","Gwangjin-gu Seoul",2020,NA,11050,11050,11050,11050,"A0206","A0106","BVXX007",4200007
"서울특별시","동대문구","동대문구","동대문구","Seoul","Dongdaemun-gu","Dongdaemun-gu","Dongdaemun-gu","Dongdaemun-gu Seoul",2020,NA,11060,11060,11060,11060,"A0211","A0111","BVXX012",4200008
"서울특별시","중랑구","중랑구","중랑구","Seoul","Jungnang-gu","Jungnang-gu","Jungnang-gu","Jungnang-gu Seoul",2020,NA,11070,11070,11070,11070,"A0225","A0125","BVXX026",4200009
"서울특별시","성북구","성북구","성북구","Seoul","Seongbuk-gu","Seongbuk-gu","Seongbuk-gu","Seongbuk-gu Seoul",2020,NA,11080,11080,11080,11080,"A0217","A0117","BVXX018",4200010
"서울특별시","강북구","강북구","강북구","Seoul","Gangbuk-gu","Gangbuk-gu","Gangbuk-gu","Gangbuk-gu Seoul",2020,NA,11090,11090,11090,11090,"A0203","A0103","BVXX004",4200011
"서울특별시","도봉구","도봉구","도봉구","Seoul","Dobong-gu","Dobong-gu","Dobong-gu","Dobong-gu Seoul",2020,NA,11100,11100,11100,11100,"A0210","A0110","BVXX011",4200012
"서울특별시","노원구","노원구","노원구","Seoul","Nowon-gu","Nowon-gu","Nowon-gu","Nowon-gu Seoul",2020,NA,11110,11110,11110,11110,"A0209","A0109","BVXX010",4200013
"서울특별시","은평구","은평구","은평구","Seoul","Eunpyeong-gu","Eunpyeong-gu","Eunpyeong-gu","Eunpyeong-gu Seoul",2020,NA,11120,11120,11120,11120,"A0222","A0122","BVXX023",4200014
"서울특별시","서대문구","서대문구","서대문구","Seoul","Seodaemun-gu","Seodaemun-gu","Seodaemun-gu","Seodaemun-gu Seoul",2020,NA,11130,11130,11130,11130,"A0214","A0114","BVXX015",4200015
"서울특별시","마포구","마포구","마포구","Seoul","Mapo-gu","Mapo-gu","Mapo-gu","Mapo-gu Seoul",2020,NA,11140,11140,11140,11140,"A0213","A0113","BVXX014",4200016
"서울특별시","양천구","양천구","양천구","Seoul","Yangcheon-gu","Yangcheon-gu","Yangcheon-gu","Yangcheon-gu Seoul",2020,NA,11150,11150,11150,11150,"A0219","A0119","BVXX020",4200017
"서울특별시","강서구","강서구","강서구","Seoul","Gangseo-gu","Gangseo-gu","Gangseo-gu","Gangseo-gu Seoul",2020,NA,11160,11160,11160,11160,"A0204","A0104","BVXX005",4200018
"서울특별시","구로구","구로구","구로구","Seoul","Guro-gu","Guro-gu","Guro-gu","Guro-gu Seoul",2020,NA,11170,11170,11170,11170,"A0207","A0107","BVXX008",4200019
